Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
960,Guadalajara-Malpaso (Ent. Tesistán-Malpaso),Ent. Tesistán -San Cristóbal De La Barranca,23,47.5,D
960,Guadalajara-Malpaso (Ent. Tesistán-Malpaso),San Cristóbal De La Barranca-Malpaso,23,244.7,B2
970,Guadalajara - Zacatecas,Guadalajara - Zacatecas,54,311.8,B2
980,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,23,336.5,NA
980,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,Guadalupe Aguilera-Tepehuanes,23,169,B2
980,Guadalupe Aguilera-Guanacevi/Con Ramal A Los Herrera,Tepehuanes-Guanacevi,23,87.5,D
980-R,Ramal Los Herrera-Joyas Del Yaqui,Ramal Los Herrera-Joyas Del Yaqui,23,80,D
990,Se Deroga,Se Deroga,NA,NA,NA
990,Se Deroga,Se Deroga,NA,NA,NA
1000,Guanajuato - Los Infantes,Guanajuato - Los Infantes,110,NA,NA
1000,Guanajuato - Los Infantes,Santa Teresa – Los Infantes,110,9.23,D
1010,Guanajuato-Silao,Guanajuato-Silao,110,23.1,NA
1010,Guanajuato-Silao,Guanajuato-Marfil,110,6,D
1010,Guanajuato-Silao,Marfil-Silao,110,17.1,D
1015,Haltunchén-Ent. Cayal,Haltunchén-Ent. Cayal,188,74.7,D
1020,Se Deroga,Se Deroga,NA,NA,NA
1025,Haltuchén-Campeche (Directo) (Villa Madero-Ent. Lib. Campeche),Haltuchén-Campeche (Directo) (Villa Madero-Ent. Lib. Campeche),180D,31,ET4
1030,Se Deroga,Se Deroga,NA,NA,NA
1040,Hermosillo-Nogales,Hermosillo-Nogales,15,285.4,NA
1040,Hermosillo-Nogales,Hermosillo-Nogales,15,272.2,ET4
1040-L,Libramiento Magdalena De Kino (Directo),Libramiento Magdalena De Kino (Directo),15,13.2,ET4
1050,Hermosillo – Yepachic,Hermosillo – Yepachic,16,325.6,C
1055,Hidalgo Del Parral-Puerto Sabinal,Hidalgo Del Parral-Puerto Sabinal,24,208.07,D
1060,Huajuapan De León-Oaxaca,Huajuapan De León-Oaxaca,190,190.6,NA
1060,Huajuapan De León-Oaxaca,Huajuapan De León-Nochixtlán,190,90.4,B2
1060,Huajuapan De León-Oaxaca,Nochixtlán-San Francisco Telixtlahuaca,190,71.33,C
1060,Huajuapan De León-Oaxaca,San Francisco Telixtlahuaca-San Pablo Etla,190,12.67,D
1060,Huajuapan De León-Oaxaca,San Pablo Etla-Oaxaca,190,16.2,ET4
1070,Huajumbaro – Zinapecuaro,Huajumbaro – Zinapecuaro,51,34.4,D
1080,Huixtla – Ciudad Cuauhtemoc,Huixtla – Ciudad Cuauhtemoc,211,126,B2
1085,Ignacio Zaragoza-Ent. (Carr. Cd. Victoria-Monterrey) (La Aurora),Ignacio Zaragoza-Ent. (Carr. Cd. Victoria-Monterrey) (La Aurora),83,94.3,ET2
1090,Iguala – Ciudad Altamirano,Iguala – Ciudad Altamirano,51,182.3,B2
1100,Imuris-Agua Prieta,Imuris-Agua Prieta,2,164.7,NA
1100,Imuris-Agua Prieta,Imuris-Ent. Santa Cruz,2,43,A2
1100,Imuris-Agua Prieta,Ent. Santa Cruz-Cananea,2,37,B2
1100,Imuris-Agua Prieta,Cananea-Agua Prieta,2,84.7,A2
1110,Irapuato-Zapotlanejo,Irapuato-Zapotlanejo,90,237.9,NA
1110,Irapuato-Zapotlanejo,Irapuato-Pénjamo,90,51,A4
1110,Irapuato-Zapotlanejo,Pénjamo-La Piedad,90,23.3,A4
1110,Irapuato-Zapotlanejo,La Piedad-Zapotlanejo,90,143.6,B2
1110-L,Libramiento Norte La Piedad (Directo),Libramiento Norte La Piedad (Directo),90D,20,A2
1115,Jalpan De Serra-Río Verde,Jalpan De Serra-Río Verde,69,105.42,D
1120,Janos-Agua Prieta,Janos-Agua Prieta,2,160,NA
1120,Janos-Agua Prieta,Janos-El Valle,2,85,A2
1120,Janos-Agua Prieta,El Valle-El Diablo,2,30,B2
1120,Janos-Agua Prieta,El Diablo-Agua Prieta,2,45,A2
1125,Jerez De García Salinas -(T.C. Ent. Fresnillo-Valparaíso),Jerez De García Salinas -(T.C. Ent. Fresnillo-Valparaíso),23,59.7,D
1130,Jimenez-Delicias (Directo),Jimenez-Delicias (Directo),45D,137,ET4
1130,Jimenez-Delicias (Directo),Se Deroga,NA,NA,NA
1130,Jimenez-Delicias (Directo),Se Deroga ,NA,NA,NA
1150,Jiquilpan-Colima,Jiquilpan-Colima,110,220,C
1160,Jiquilpan – Guadalajara,Jiquilpan – Guadalajara,15,154,NA
1160,Jiquilpan – Guadalajara,Jiquilpan – Acatlán,15,119,B2
1160,Jiquilpan – Guadalajara,Acatlán – Guadalajara,15,35,ET4
1170,Kantunil-Puerto Juárez-(Ent. Carr. Reforma Agraria-Pto. Juárez) (Directo) ,Kantunil-Puerto Juárez-(Ent. Carr. Reforma Agraria-Pto. Juárez) (Directo) ,180D,249,ET4
1180,Se Deroga,Se Deroga,NA,NA,NA
1190,Se Deroga,Se Deroga,NA,NA,NA
1200,La Junta – Yepachic,La Junta – Yepachic,16,134,C
1210,La Noria – Acambaro,La Noria – Acambaro,120,110.5,D
1220,La Paz-Ciudad Insurgentes/Con Ramal A San Carlos,La Paz-Ciudad Insurgentes/Con Ramal A San Carlos,1,294.2,NA
1220,La Paz-Ciudad Insurgentes/Con Ramal A San Carlos,La Paz-Ciudad Insurgentes,1,236.5,ET2
1220-R,Ramal A San Carlos Km 0+000-57+700,Ramal A San Carlos Km 0+000-57+700,1,57.7,D
1225,La Paz-Pichilingue,La Paz-Pichilingue,11,17,B2
1230,La Pera – Cuautla (Directo),La Pera – Cuautla (Directo),160D,34.2,A2
1240,La Piedad – Carapan,La Piedad – Carapan,37,72.6,C
1245,La Trinitaria-Lagunas De Montebello,La Trinitaria-Lagunas De Montebello,307,39.4,D
1250,La Ventosa-Tapanatepec ,La Ventosa-Tapanatepec ,190,91.9,ET2
1260,Lagos De Moreno-Guadalajara/Con Ramal A Yahualica,Lagos De Moreno-Guadalajara/Con Ramal A Yahualica,80,189.86,NA
1260,Lagos De Moreno-Guadalajara/Con Ramal A Yahualica,Lagos De Moreno-El Desperdicio,80,40.16,ET4
1260,Lagos De Moreno-Guadalajara/Con Ramal A Yahualica,El Desperdicio-Zapotlanejo,80,123.9,C
1260,Lagos De Moreno-Guadalajara/Con Ramal A Yahualica,Zapotlanejo-Guadalajara,80,25.8,B4
1260-R,Ramal Yahualica De González Gallo,Ramal Yahualica De González Gallo,N/D,61,D
1262,Lagos De Moreno-Villa De Arriaga (Directo),Lagos De Moreno-Villa De Arriaga (Directo),80D,128,ET2
1265,Las Choapas-Ocozocuautla ,Las Choapas-Ocozocuautla ,187D,203,NA
1265,Las Choapas-Ocozocuautla ,Las Choapas-Raudales ,187D,171,ET2
1265,Las Choapas-Ocozocuautla ,Raudales-Ocozocuautla ,187D,32,ET2
1270,Las Cruces – Arriaga,Las Cruces – Arriaga,N/D,47.3,C
1280,Las Cruces – Pinotepa Nacional,Las Cruces – Pinotepa Nacional,200,252.6,B2
1290,Lazaro Cárdenas – Polyuc,Lazaro Cárdenas – Polyuc,293,100.1,D
1300,Lázaro Cárdenas - Punta Prieta,Lázaro Cárdenas - Punta Prieta,1,280.6,ET2
1310,León-Aguascalientes (Directo) (Hasta Ent. El Salvador),León-Aguascalientes (Directo) (Hasta Ent. El Salvador),45D,104,ET4
1320,León-Aguascalientes,León-Aguascalientes,45,129,NA
1320,León-Aguascalientes,León –Lagos De Moreno,45,44,B
1320,León-Aguascalientes,Lagos De Moreno-Ent. Salvador,45,58,C
1320,León-Aguascalientes,Ent. Salvador-Aguascalientes,45,27,ET4
1330,Se Deroga,Se Deroga,NA,NA,NA
1335,Se Deroga,Se Deroga,NA,NA,NA
1340,Se Deroga,Se Deroga,NA,NA,NA
1350,Se Deroga,Se Deroga,NA,NA,NA
1355,Se Deroga,Se Deroga,NA,NA,NA
1360,Se Deroga,Se Deroga,NA,NA,NA
1370,Se Deroga,Se Deroga,NA,NA,NA
1370,Se Deroga,Se Deroga,NA,NA,NA
1370,Se Deroga,Se Deroga,NA,NA,NA
1380,Se Deroga,Se Deroga,NA,NA,NA
1390,Se Deroga ,Se Deroga ,NA,NA,NA
1400,Se Deroga,Se Deroga,NA,NA,NA
1410,Se Deroga,Se Deroga,NA,NA,NA
1430,Se Deroga,Se Deroga,NA,NA,NA
1440,Linares-Ent. San Roberto,Linares-Ent. San Roberto,58,95.5,D
1440-R1,Matehuala-Ojo De Agua 0+000-3+500,Matehuala-Ojo De Agua 0+000-3+500,58,3.5,D
1440-R2,Matehuala-Ojo De Agua 3+500,Matehuala-Ojo De Agua 3+500,58,2.7,D
1440-R3,Estación Vanegas,Estación Vanegas,58,2.2,D
1450,Loreto - Santa Rosalía,Loreto - Santa Rosalía,1,197,ET2
1460,Los Mochis-Cd. Obregón,Los Mochis-Cd. Obregón,15,223,NA
1460,Los Mochis-Cd. Obregón,Los Mochis-Estación Don,15,69.8,ET4
1460,Los Mochis-Cd. Obregón,Estación Don-Cd. Obregón (Directo),15D,153.2,ET4
1470,Los Reyes-Zacatepec,Los Reyes-Zacatepec,136,173.17,NA
1470,Los Reyes-Zacatepec,Los Reyes-Texcoco,136,24,B4
1470,Los Reyes-Zacatepec,Texcoco-Calpulalpan,136,35.9,ET4
1470,Los Reyes-Zacatepec,Calpulalpan-Ent. Sanctórum,136,10.67,B2
1470,Los Reyes-Zacatepec,Ent. Sanctórum-Apizaco,136,34,ET4
1470,Los Reyes-Zacatepec,Paso Por Hueyotlipan,136,2.7,C
1470,Los Reyes-Zacatepec,Apizaco-Ent. Autopista Amozoc-Perote,136,35,ET4
1470,Los Reyes-Zacatepec,Ent. Autopista Amozoc-Perote-Zacatepec,136,30.9,B2
1480,Se Deroga,Se Deroga,NA,NA,NA
1490,Manuel Doblado-Ent. La Piedad,Manuel Doblado-Ent. La Piedad,37,46.8,D
1500,Manzanillo-Ent. Barra De Navidad,Manzanillo-Ent. Barra De Navidad,200,58.8,B2
1510,Maravatio – Acambaro,Maravatio – Acambaro,61,36,C
1520,Maravatío – Zapotlanejo (Directo),Maravatío – Zapotlanejo (Directo),15 D,310,ET4
1540,Matamoros-Reynosa,Matamoros-Reynosa,2,122.8,NA
1540,Matamoros-Reynosa,Matamoros-Ent. El Capote,2,23,ET2
1540,Matamoros-Reynosa,Ent. El Capote- Río Bravo,2,41,C
1540,Matamoros-Reynosa,Río Bravo-Reynosa,2,27.8,ET4
1540-L,Libramiento Reynosa Sur Ii,Libramiento Reynosa Sur Ii,2D,31,A2
1550,Matehuala-Saltillo (Ent. La Encantada),Matehuala-Saltillo (Ent. La Encantada),57,243.31,NA
1550,Matehuala-Saltillo (Ent. La Encantada),Matehuala-Puerto México,57,202,ET4
1550,Matehuala-Saltillo (Ent. La Encantada),Puerto México — Ent. La Encantada,57,41.31,C
1560,Mazatlán-Culiacán,Mazatlán-Culiacán,15,220.12,NA
1560,Mazatlán-Culiacán,Mazatlán-El Venadillo,15,9,A4
1560,Mazatlán-Culiacán,El Venadillo-Ent. Libramiento Sur De Culiacán,15,205.32,C
1560,Mazatlán-Culiacán,Ent. Libramiento Sur De Culiacán-Culiacán ,15,5.8,A4
1570,Mazatlán-Culiacán (Directo) (El Venadillo-Costa Rica),Mazatlán-Culiacán (Directo) (El Venadillo-Costa Rica),15D,213.4,NA
1570,Mazatlán-Culiacán (Directo) (El Venadillo-Costa Rica),Mazatlán-Culiacán (Directo) (El Venadillo-Costa Rica),15D,182.5,ET4
1570-L1,Libramiento De Culiacán (Directo),Libramiento De Culiacán (Directo),15D,22,ET4
1570-L2,Libramiento Sur De Culiacán,Libramiento Sur De Culiacán,15,8.9,A4
1580,Melaque – Puerto Vallarta,Melaque – Puerto Vallarta,200,202.1,B2
1600,Mérida-Celestum,Mérida-Celestum,281,89.8,D
1610,Mérida – Progreso,Mérida – Progreso,261,34.8,ET4
1615,Mérida-Puerto Juárez,Mérida-Puerto Juárez,180,323.9,NA
1615,Mérida-Puerto Juárez,Mérida-Kantunil,180,67.3,ET4
1615,Mérida-Puerto Juárez,Kantunil-Chichén Itzá,180,54,D
1615,Mérida-Puerto Juárez,Chichén Itzá-Chemax,180,68,A2
1615,Mérida-Puerto Juárez,Chemax-X-Can,180,37,C
1615,Mérida-Puerto Juárez,X-Can-Ent. (Autopista Kantunil-Pto. Juárez),180,77,D
1615,Mérida-Puerto Juárez,Ent. (Autopista Kantunil-Pto. Juarez)-Puerto Juárez,180,20.6,ET4
1616,Mérida-Tekanto,Mérida-Tekanto,N/D,51,D
1620,Mérida-Tizimín,Mérida-Tizimín,178,160,NA
1620,Mérida-Tizimín,Mérida-Motul,178,31,A4
1620,Mérida-Tizimín,Motul-Tizimín,178,129,A2
1630,Mexicali-Tijuana,Mexicali-Tijuana,2,133,NA
1630,Mexicali-Tijuana,Mexicali-Centinela,2,18,A4
1630,Mexicali-Tijuana,La Cuesta (La Rumorosa)-Tijuana,2,115,C
1640,Mexicali-San Felipe,Mexicali-San Felipe,5,190.6,NA
1640,Mexicali-San Felipe,Mexicali-El Faro,5,39,B4
1640,Mexicali-San Felipe,El Faro-El Chinero,5,102,B2
1640,Mexicali-San Felipe,El Chinero-Playa Grande,5,29,A2
1640,Mexicali-San Felipe, Playa Grande-San Felipe,5,20.6,A4
1650,Mexicali-Tijuana (Directo),Mexicali-Tijuana (Directo),2D,181.4,NA
1650,Mexicali-Tijuana (Directo),Ent. Cuernavaca-Centinela (Libramiento De Mexicali Cuota),2D,41.6,ET4
1650,Mexicali-Tijuana (Directo),Centinela-La Rumorosa,2D,42.3,ET4
1650,Mexicali-Tijuana (Directo),La Rumorosa-Tecate,2D,55.5,ET4
1650,Mexicali-Tijuana (Directo),Tecate-Tijuana,2D,42,ET4
1660,México – Cuernavaca,México – Cuernavaca,95,52.6,C
1670,México - Cuernavaca (Directo),México - Cuernavaca (Directo),95 D,61.5,ET4
1680,México (Ent. Constituyentes)-Toluca (Lerma),México (Ent. Constituyentes)-Toluca (Lerma),15,29.7,NA
1680,México (Ent. Constituyentes)-Toluca (Lerma),México (Ent. Constituyentes)-La Marquesa,15,12,C
1680,México (Ent. Constituyentes)-Toluca (Lerma),La Marquesa-Toluca,15,17.7,ET4
1690,México (Ecatepec)-Ent. Tizayuca (Directo),México (Ecatepec)-Ent. Tizayuca (Directo),85D,45.84,NA
1690,México (Ecatepec)-Ent. Tizayuca (Directo),México (Ecatepec)-Ent. Morelos,85D,12,ET4
1690,México (Ecatepec)-Ent. Tizayuca (Directo),Ent. Morelos-Ent. Tizayuca,85D,33.84,A4
1700,México-Puebla,México-Puebla,150,117.4,NA
1700,México-Puebla,Mexico – Santa Barabra,150,14.3,B4
1700,México-Puebla,Santa Barbara – San Martin Texmelucan,150,61.9,D
1700,México-Puebla,San Martin Texmelucan - Cholula,150,29.2,C
1700,México-Puebla,Cholula-Puebla,150,12,B4
1710,México - Puebla (Directo),México - Puebla (Directo),150 D,111,ET4
1720,México-Querétaro (Directo),México-Querétaro (Directo),57D,259.9,NA
1720,México-Querétaro (Directo),México-Querétaro (Directo),57D,175.5,ET4
1720-L1,Libramiento Noreste Querétaro (Directo),Libramiento Noreste Querétaro (Directo),57D,37.5,ET4
1720-L2,Libramiento Surponiente De Querétaro,Libramiento Surponiente De Querétaro,N/D,46.9,A4
1730,México-Pachuca ,México-Pachuca ,85,89.6,NA
1730,México-Pachuca ,México- Izcalli Jardines,85,25.5,ET4
1730,México-Pachuca ,Izcalli Jardines- Tizayuca,85,39.6,C
1730,México-Pachuca ,Tizayuca-Pachuca,85,24.5,ET4
1740,México (Ent. Constituyentes)-La Marquesa (Directo),México (Ent. Constituyentes)-La Marquesa (Directo),15D,22.2,ET4
1740,México (Ent. Constituyentes)-La Marquesa (Directo),Se Deroga ,NA,NA,NA
1740,México (Ent. Constituyentes)-La Marquesa (Directo),Se Deroga ,NA,NA,NA
1750,Moctezuma – Agua Prieta,Moctezuma – Agua Prieta,17,198,B2
1760,Monclova-Piedras Negras,Monclova-Piedras Negras,57,265.35,NA
1760,Monclova-Piedras Negras,Monclova-Nueva Rosita,57,127,ET4
1760,Monclova-Piedras Negras,Nueva Rosita-Allende,57,60.5,C
1760,Monclova-Piedras Negras,Allende-Morelos,57,8,A
1760,Monclova-Piedras Negras,Morelos-Nava,57,12,B
1760,Monclova-Piedras Negras,Nava-Piedras Negras,57,40.3,ET4
1760-L,Libramiento Allende-Nava,Libramiento Allende-Nava,57,17.55,ET4
1770,Monclova-San Pedro De Las Colonias,Monclova-San Pedro De Las Colonias,30,261.62,NA
1770,Monclova-San Pedro De Las Colonias,Monclova –Cuatro Ciénegas,30,77.92,B4
1770,Monclova-San Pedro De Las Colonias,Cuatro Ciénegas-San Pedro De Las Colonias,30,183.7,B2
1780,Montemorelos-China,Montemorelos-China,48,86.7,NA
1780,Montemorelos-China,Montemorelos-General Terán,48,16.7,B2
1780,Montemorelos-China,General Terán-China,48,70,A
1790,Monterrey-Castaños Ent. (Carr. Monterrey-Nuevo Laredo)-Ent. (Carr. Saltillo-Monclova),Monterrey-Castaños Ent. (Carr. Monterrey-Nuevo Laredo)-Ent. (Carr. Saltillo-Monclova),53,172,A2
1790,Monterrey-Castaños Ent. (Carr. Monterrey-Nuevo Laredo)-Ent. (Carr. Saltillo-Monclova),Se Deroga,NA,NA,NA
1790,Monterrey-Castaños Ent. (Carr. Monterrey-Nuevo Laredo)-Ent. (Carr. Saltillo-Monclova),Se Deroga,NA,NA,NA
1800,Monterrey-Ciudad Mier,Monterrey-Ciudad Mier,54,155.6,NA
1800,Monterrey-Ciudad Mier,Monterrey-Ent. Pesquería,54,28.6,A
1800,Monterrey-Ciudad Mier,Ent. Pesquería-Ciudad Mier,54,127,C
1810,Monterrey-Nuevo Laredo,Monterrey-Nuevo Laredo,85,212.84,NA
1810,Monterrey-Nuevo Laredo,Monterrey-Ent. Ciénega De Flores,85,22.74,ET4
1810,Monterrey-Nuevo Laredo,Ent. Ciénega De Flores-La Gloria,85,132.67,B
1810,Monterrey-Nuevo Laredo,La Gloria-Nuevo Laredo,85,57.43,ET4
1820,Monterrey-Nuevo Laredo (Directo) (Ent. Ciénega De Flores-La Gloria),Monterrey-Nuevo Laredo (Directo) (Ent. Ciénega De Flores-La Gloria),85D,123,ET4
1820,Monterrey-Nuevo Laredo (Directo) (Ent. Ciénega De Flores-La Gloria),Se Deroga,NA,NA,NA
1820,Monterrey-Nuevo Laredo (Directo) (Ent. Ciénega De Flores-La Gloria),Se Deroga,NA,NA,NA
1820,Monterrey-Nuevo Laredo (Directo) (Ent. Ciénega De Flores-La Gloria),Se Deroga,NA,NA,NA
1830,Monterrey-Reynosa,Monterrey-Reynosa,40,224.9,NA
1830,Monterrey-Reynosa,Monterrey-Cadereyta,40,30.2,B4
1830,Monterrey-Reynosa,Cadereyta-China,40,69,B2
1830,Monterrey-Reynosa,China-Ent. La Sierrita,40,67.7,C
1830,Monterrey-Reynosa,Ent. La Sierrita-Reynosa,40,58,ET4
1840,Monterrey-Reynosa (Directo) Cadereyta-Ent. La Sierrita,Monterrey-Reynosa (Directo) Cadereyta-Ent. La Sierrita,40D,132,ET4
1840,Monterrey-Reynosa (Directo) Cadereyta-Ent. La Sierrita,Se Deroga,NA,NA,NA
1840,Monterrey-Reynosa (Directo) Cadereyta-Ent. La Sierrita,Se Deroga,NA,NA,NA
1850,Morelia-Jiquilpan,Morelia-Jiquilpan,15,206,C
1860,Morelia-Pátzcuaro,Morelia-Pátzcuaro,14,51,ET4
1870,Morelia-Salamanca,Morelia-Salamanca,43,109.6,NA
1870,Morelia-Salamanca,Morelia -  Ent. (Carr. Maravatio Zapotlanejo),43,23,ET4
1870,Morelia-Salamanca,Ent. (Carr. Maravatío - Zapotlanejo) – Salamanca),43,86.6,B2
1875,Morelia-Salamanca (Directo) (Ent. Km. 25+650 De La Carret. Libre Morelia-Salamanca)-Salamanca ,Morelia-Salamanca (Directo) (Ent. Km. 25+650 De La Carret. Libre Morelia-Salamanca)-Salamanca ,43D,83,ET2
1880,Morelos-Ciudad Acuña,Morelos-Ciudad Acuña,29,100,A2
1910,Naucalpan - Toluca,Naucalpan - Toluca,134,56,C
1920,Nuevo Laredo-Ent. (Carr. Monclova-Piedras Negras),Nuevo Laredo-Ent. (Carr. Monclova-Piedras Negras),2,175,NA
1920,Nuevo Laredo-Ent. (Carr. Monclova-Piedras Negras),Nuevo Laredo-Ent. Colombia,2,35,A4
1920,Nuevo Laredo-Ent. (Carr. Monclova-Piedras Negras),Ent. Colombia-Ent. (Carr. Monclova-Piedras Negras),2,140,B2
1930,Nuevo Teapa-Cosoleacaque (Directo).,Nuevo Teapa-Cosoleacaque (Directo).,180D,34,ET4
1940,Oaxaca-Puerto Ángel,Oaxaca-Puerto Ángel,175,246,NA
1940,Oaxaca-Puerto Ángel,Oaxaca-Tilcajete,175,23,B4
1940,Oaxaca-Puerto Ángel,Tilcajete-Puerto Ángel,175,223,B2
1950,Oaxaca – Tehuantepec,Oaxaca – Tehuantepec,190,250.2,B2
1960,Ocozocoautla-Arriaga (Directo),Ocozocoautla-Arriaga (Directo),200D,114,ET2
1970,Ocozocuautla-Tuxtla Gutiérrez (Alt. Por Berriozábal),Ocozocuautla-Tuxtla Gutiérrez (Alt. Por Berriozábal),190,24.3,C
1975,Ojo Caliente –Santa Cruz,Ojo Caliente –Santa Cruz,57,34,ET2
1980,Ojuelos – Aguascalientes,Ojuelos – Aguascalientes,70,78.6,B2
1985,Pachuca-Calpulalpan,Pachuca-Calpulalpan,88,70,NA
1985,Pachuca-Calpulalpan,Pachuca-Cd. Sahagún,88,45,B4
1985,Pachuca-Calpulalpan,Cd. Sahagún-Ent. Emiliano Zapata,88,14,B4
1985,Pachuca-Calpulalpan,Ent. Emiliano Zapata-Calpulalpan,88,11,B2
1990,Pachuca – Tempoal,Pachuca – Tempoal,105,260.8,D
2000,Pachuca-Tuxpam,Pachuca-Tuxpam,130,251.5,NA
2000,Pachuca-Tuxpam,Pachuca-Ent. Lib. Tulancingo,130,50,A4
2000,Pachuca-Tuxpam,Ent. Lib. Tulancingo-Cañada Rica,130,184,C
2000,Pachuca-Tuxpam,Cañada Rica-Tuxpam,130,17.5,ET4
2020,Parral-Jiménez,Parral-Jiménez,45,76.5,A4
2030,Paso Del Toro – Acayucan,Paso Del Toro – Acayucan,180,227.8,C
2035,Pátzcuaro – Uruapan,Pátzcuaro – Uruapan,14,62,C
2036,Pátzcuaro-Uruapan ( Directo ),Pátzcuaro-Uruapan ( Directo ),37D,57.3,ET2
2040,Pedriceña-El Rodeo,Pedriceña-El Rodeo,34,98.6,D
2045,Perote-Banderilla-Libramiento De Xalapa (Directo),Perote-Banderilla-Libramiento De Xalapa (Directo),140D,59,NA
2045,Perote-Banderilla-Libramiento De Xalapa (Directo),Perote-Banderilla,140D,31,ET4
2045-L, Libramiento De Xalapa , Libramiento De Xalapa ,JA-10D,28,ET4
2050,Piedras Negras-Ent.(Carr. Morelos-Ciudad Acuña),Piedras Negras-Ent.(Carr. Morelos-Ciudad Acuña),2,83,NA
2050,Piedras Negras-Ent.(Carr. Morelos-Ciudad Acuña),Piedras Negras-Jiménez,2,45,A4
2050,Piedras Negras-Ent.(Carr. Morelos-Ciudad Acuña), Jiménez-Ciudad Acuña,2,38,A2
2055,Piggy Back- Costa Rica (Directo) Piggy Back-Ent. Libramiento De Culiacán,Piggy Back- Costa Rica (Directo) Piggy Back-Ent. Libramiento De Culiacán,15D,17,A4
2060,Pinotepa Nacional – Salina Cruz,Pinotepa Nacional – Salina Cruz,200,393.4,B2
2065,Plan De Guadalupe-Tuxtepec Km 20+000 Al 185+000,Plan De Guadalupe-Tuxtepec Km 20+000 Al 185+000,182,165,D
2070,Portezuelo - Palmillas,Portezuelo - Palmillas,45,80,B2
2080,Poza Rica – Veracruz,Poza Rica – Veracruz,180,245.2,NA
2080,Poza Rica – Veracruz,Poza Rica – Cardel,180,214.7,ET2
2080,Poza Rica – Veracruz,Cardel - Veracruz ( Directo ),180 D,30.5,ET4
2090,Se Deroga,Se Deroga,NA,NA,NA
2100,Puebla - Córdoba (Directo),Puebla - Córdoba (Directo),150 D,173.3,ET4
