Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
2110,Puebla-Huajuapan De León,Puebla-Huajuapan De León,190,219.9,NA
2110,Puebla-Huajuapan De León,Puebla-Atlixco,190,31,C
2110,Puebla-Huajuapan De León,Atlixco-Izúcar De Matamoros ,190,36,A4
2110,Puebla-Huajuapan De León,Izúcar De Matamoros-Huajuapan De León,190,152.9,B2
2120,Puebla (Ent. Carr. Puebla-Tlaxcala)-Santa Ana Chiautempan,Puebla (Ent. Carr. Puebla-Tlaxcala)-Santa Ana Chiautempan,121,29.2,A4
2130,Puebla-Tehuacán,Puebla-Tehuacán,150,119,NA
2130,Puebla-Tehuacán,Puebla-Tepeaca,150,37.5,C
2130,Puebla-Tehuacán,Tepeaca-Ent. Aut. (Cuacnopalan-Oaxaca),150,74.5,D
2130,Puebla-Tehuacán,Ent. Aut. (Cuacnopalan-Oaxaca)-Tehuacán,150,7,C
2140,Puebla - Tlaxcala,Puebla - Tlaxcala,119,33.2,C
2150,Puente De Ixtla-Iguala (Directo),Puente De Ixtla-Iguala (Directo),95D,59.5,A2
2151,Puertecitos-Laguna Chapala (Hasta Papá Fernández),Puertecitos-Laguna Chapala (Hasta Papá Fernández),5,95,C
2152,Puerto México-Ojo Caliente (Directo),Puerto México-Ojo Caliente (Directo),57D,51,ET4
2160,Punta Prieta-Bahía De Los Ángeles Km 0+000-66+600,Punta Prieta-Bahía De Los Ángeles Km 0+000-66+600,12,66.6,D
2165,Punta Prieta-Paralelo 28,Punta Prieta-Paralelo 28,1,127.6,ET2
2170,Querétaro – Irapuato (Directo),Querétaro – Irapuato (Directo),45 D,104.7,ET4
2180,Querétaro-León ,Querétaro-León ,45,182.7,NA
2180,Querétaro-León ,Querétaro-Salamanca,45,93.8,B4
2180,Querétaro-León ,Salamanca-Irapuato,45,19.9,A4
2180,Querétaro-León ,Irapuato – León,45,69,ET4
2190,Querétaro-San Luis Potosí,Querétaro-San Luis Potosí,57,235.4,NA
2190,Querétaro-San Luis Potosí,Querétaro-San Luis Potosí,57,201.8,ET4
2190-L,Libramiento Oriente San Luis Potosí (Directo),Libramiento Oriente San Luis Potosí (Directo),57D,33.6,ET4
2190-R,Ramal A Tierra Nueva,Ramal A Tierra Nueva,57,13.1,D
2200,Quiroga-Tepalcatepec,Quiroga-Tepalcatepec,120,268.2,NA
2200,Quiroga-Tepalcatepec,Quiroga-Cuatro Caminos (Nueva Italia),120,168,C
2200,Quiroga-Tepalcatepec,Cuatro Caminos (Nueva Italia) -Apatzingán,120,31.7,A4
2200,Quiroga-Tepalcatepec,Apatzingán-Tepalcatepec,120,68.5,C
2210,Se Deroga,Se Deroga,NA,NA,NA
2215,Se Deroga,Se Deroga,NA,NA,NA
2220,Rancho Viejo-Taxco (Directo),Rancho Viejo-Taxco (Directo),95D,8.34,A2
2230,Raudales De Malpaso-El Bellote,Raudales De Malpaso-El Bellote,187,185.5,NA
2230,Raudales De Malpaso-El Bellote,Raudales De Malpaso-Francisco J. Santa María,187,69,D
2230,Raudales De Malpaso-El Bellote,Francisco J. Santa María-Heróica Cárdenas,187,51.7,B2
2230,Raudales De Malpaso-El Bellote,Heróica Cárdenas-Comalcalco,187,38.4,B2
2230,Raudales De Malpaso-El Bellote,Comalcalco-Paraíso,187,22,B4
2230,Raudales De Malpaso-El Bellote,Paraíso-El Bellote,187,4.4,B2
2235,Rayón-Cd. Valles (Hasta Ent. La Pitaya) (Directo),Rayón-Cd. Valles (Hasta Ent. La Pitaya) (Directo),70D,68.58,ET2
2240,Reforma Agraria-Puerto Juárez,Reforma Agraria-Puerto Juárez,307,358.4,NA
2240,Reforma Agraria-Puerto Juárez,Reforma Agraria-Tulum,307,227,ET2
2240,Reforma Agraria-Puerto Juárez,Tulum-Puerto Juárez,307,131.4,ET4
2245,Reyes Mantecón-Sola De Vega Km 4+000 Al 78+400,Reyes Mantecón-Sola De Vega Km 4+000 Al 78+400,175,74.4,D
2250,Reynosa-Ent. (Carr. Monterrey-Nuevo Laredo),Reynosa-Ent. (Carr. Monterrey-Nuevo Laredo),2,221.1,NA
2250,Reynosa-Ent. (Carr. Monterrey-Nuevo Laredo),Reynosa-Nva. Ciudad Guerrero,2,122,A2
2250,Reynosa-Ent. (Carr. Monterrey-Nuevo Laredo),Nva. Ciudad Guerrero-Ent. (Carr. Monterrey-Nuevo Laredo),2,99.1,B2
2252,Rinconada-La Piedad,Rinconada-La Piedad,15,46.4,NA
2252,Rinconada-La Piedad,Rinconada-Ecuandureo,15,19.5,D
2252,Rinconada-La Piedad,Ecuandureo-La Piedad,15,26.9,D
2255,Saltillo-Ent. La Carbonera,Saltillo-Ent. La Carbonera,57,24,NA
2255,Saltillo-Ent. La Carbonera,Saltillo-Arteaga,57,20,A4
2255,Saltillo-Ent. La Carbonera,Arteaga-Ent. La Carbonera,57,4,A2
2260,Saltillo-Monclova ,Saltillo-Monclova ,57,190,NA
2260,Saltillo-Monclova ,Saltillo-Santa Cruz,57,42.8,C
2260,Saltillo-Monclova ,Santa Cruz-Gloria,57,116.2,ET2
2260,Saltillo-Monclova ,Gloria-Monclova,57,31,ET4
2270,Saltillo-Monterrey,Saltillo-Monterrey,40,79.2,NA
2270,Saltillo-Monterrey,Saltillo- Ojo Caliente,40,26.3,ET4
2270,Saltillo-Monterrey,Ojo Caliente-Monterrey,40,52.9,B4
2270-L,Libramiento Noroeste De Monterrey Ent. (Carr. Saltillo-Monterrey)-Ent. (Carr. Monterrey-Nuevo Laredo),Libramiento Noroeste De Monterrey Ent. (Carr. Saltillo-Monterrey)-Ent. (Carr. Monterrey-Nuevo Laredo),38,34.5,A4
2275,Saltillo-Monterrey (Directo),Saltillo-Monterrey (Directo),40D,50.3,ET4
2280,Saltillo-Torreón,Saltillo-Torreón,40,375.43,NA
2280,Saltillo-Torreón,Saltillo- Ent. Puebla,40,33.6,ET4
2280,Saltillo-Torreón,Ent. Puebla-La Esperanza,40,82.9,D
2280,Saltillo-Torreón,La Esperanza-Ent. La Cuchilla,40,86.7,ET4
2280,Saltillo-Torreón,Ent. La Cuchilla-Emiliano Zapata,40,18,A2
2280,Saltillo-Torreón,Emiliano Zapata-Matamoros,40,30,D
2280,Saltillo-Torreón,Matamoros-Torreón,40,38.2,ET4
2280-L1,Libramiento Norte De La Laguna ,Libramiento Norte De La Laguna ,N/D,40.73,ET2
2280-L2,Libramiento Norponiente De Saltillo (Directo),Libramiento Norponiente De Saltillo (Directo),S30,45.3,ET2
2285,Saltillo-Torreón (Directo),Saltillo-Torreón (Directo),40D,110,NA
2285,Saltillo-Torreón (Directo),Ent. Puebla-La Esperanza,40D,75,ET4
2285,Saltillo-Torreón (Directo),La Cuchilla-Matamoros,40D,35,ET4
2300,Salvatierra-Ent. Yuriria,Salvatierra-Ent. Yuriria,51,29.9,B2
2305,San Felipe-Cerro Gordo,San Felipe-Cerro Gordo,37,74.6,B2
2310,San Felipe-Puertecitos,San Felipe-Puertecitos,5,75.5,D
2315,San Hipólito-Xalapa,San Hipólito-Xalapa,140,156.8,C
2330,San Juan Del Río-Xilitla,San Juan Del Río-Xilitla,120,266.4,NA
2330,San Juan Del Río-Xilitla,San Juan Del Río-Ezequiel Montes,120,37,B4
2330,San Juan Del Río-Xilitla,Ezequiel Montes-Xilitla,120,229.4,D
2340,San Luis De La Paz – Guanajuato,San Luis De La Paz – Guanajuato,110,108.9,D
2350,San Luis Potosí-Ent. Arcinas,San Luis Potosí-Ent. Arcinas,49,163,NA
2350,San Luis Potosí-Ent. Arcinas,San Luis Potosí-Ent. 1 Lib. De Mexquitic,49,20,A4
2350,San Luis Potosí-Ent. Arcinas,Ent. 1 Lib. De Mexquitic-Ent. 2 Lib. De Mexquitic,49,5.3,B2
2350,San Luis Potosí-Ent. Arcinas,Ent. 2 Lib. De Mexquitic-Ent. Arcinas,49,137.7,A4
2350-L,Libramiento De Mexquitic,Libramiento De Mexquitic,49,5,A4
2360,San Luis Potosí-Lagos De Moreno,San Luis Potosí-Lagos De Moreno,80,152.6,C
2370,San Luis Potosí-Matehuala,San Luis Potosí-Matehuala,NA,223.8,NA
2370,San Luis Potosí-Matehuala,San Luis Potosí-Matehuala,57,192.8,ET4
2370-L,Libramiento Norte San Luis Potosí (Directo),Libramiento Norte San Luis Potosí (Directo),57D,31,A2
2380,San Luis Río Colorado-Mexicali,San Luis Río Colorado-Mexicali,2,61.8,ET4
2390,San Martín Texmelucan-Tlaxcala,San Martín Texmelucan-Tlaxcala,117,24.8,D
2405,San Salvador El Seco-Azumbilla,San Salvador El Seco-Azumbilla,144,73.67,NA
2405,San Salvador El Seco-Azumbilla,San Salvador El Seco-Cd. Serdán,144,29,D
2405,San Salvador El Seco-Azumbilla,Cd. Serdán-Ent. La Esperanza,144,16,B2
2405,San Salvador El Seco-Azumbilla,Ent. La Esperanza-Azumbilla,144,28.67,D
2410,Santa Ana-Altar (Directo),Santa Ana-Altar (Directo),2D,73,ET4
2430,Santa Bárbara-Izúcar De Matamoros,Santa Bárbara-Izúcar De Matamoros,115 y 160,157.7,NA
2430,Santa Bárbara-Izúcar De Matamoros,Santa Bárbara-Amecameca,115,30,B4
2430,Santa Bárbara-Izúcar De Matamoros,Amecameca-Ent. La Alborada,115,21.6,C
2430,Santa Bárbara-Izúcar De Matamoros,Ent. La Alborada-Cuautla,115,17.3,B4
2430,Santa Bárbara-Izúcar De Matamoros,Cuautla-Jantetelco,160,21.8,ET4
2430,Santa Bárbara-Izúcar De Matamoros,Jantetelco- Izúcar De Matamoros,160,43,B2
2430-L,Libramiento Amecameca-La Alborada,Libramiento Amecameca-La Alborada,115D,24,A2
2440,Se Deroga,Se Deroga,NA,NA,NA
2445,Santa Rosa-La Barca,Santa Rosa-La Barca,35,79,NA
2445,Santa Rosa-La Barca,Santa Rosa-Ocotlán,35,50,A4
2445,Santa Rosa-La Barca,Ocotlán-La Barca,35,29,B2
2450,Santa Rosalía - Paralelo 28,Santa Rosalía - Paralelo 28,1,221,ET2
2460,Se Deroga,Se Deroga,NA,NA,NA
2470,Sonoyta-Puerto Peñasco,Sonoyta-Puerto Peñasco,8,100.4,A2
2480,Sonoita - San Luis Río Colorado,Sonoita - San Luis Río Colorado,2,201,ET2
2482,T.C. Oaxaca-Tehuantepec (Mitla)-San Pedro Y San Pablo Ayutla Km 0+000 Al 122+000,T.C. Oaxaca-Tehuantepec (Mitla)-San Pedro Y San Pablo Ayutla Km 0+000 Al 122+000,179,122,D
2485,Tanque Blanco (Ent. Carr. Querétaro-San Luis Potosí)-San Miguel De Allende/Con Ramal A Los Rodríguez,Tanque Blanco (Ent. Carr. Querétaro-San Luis Potosí)-San Miguel De Allende/Con Ramal A Los Rodríguez,57,64.79,NA
2485,Tanque Blanco (Ent. Carr. Querétaro-San Luis Potosí)-San Miguel De Allende/Con Ramal A Los Rodríguez,Tanque Blanco (Ent. Carr. Querétaro-San Luis Potosí)-San Miguel De Allende,57,31.29,B3
2485-R,Ramal A Los Rodríguez,Ramal A Los Rodríguez,57,33.5,D
2490,Tamarindo-Cardel,Tamarindo-Cardel,180,15,B4
2500,Tampico-Ciudad Mante,Tampico-Ciudad Mante,80,189.5,NA
2500,Tampico-Ciudad Mante,Tampico-Estación Manuel,80,74,ET4
2500,Tampico-Ciudad Mante,Estación Manuel-Estación González,80,20,C
2500,Tampico-Ciudad Mante,Estación González - Ciudad   Mante,80,59,A2
2500-L1,Libramiento Estación Manuel-González,Libramiento Estación Manuel-González,85,22,ET2
2500-L2,Libramiento Poniente Tampico (Directo),Libramiento Poniente Tampico (Directo),80D,14.5,ET2
2520,Tapachula-Puerto Madero-Cd. Hidalgo,Tapachula-Puerto Madero-Cd. Hidalgo,225,68.9,NA
2520,Tapachula-Puerto Madero-Cd. Hidalgo,Tapachula-Ent. Jaritas,225,17,A4
2520,Tapachula-Puerto Madero-Cd. Hidalgo,Ent. Jaritas-Puerto Madero,225,11.4,A2
2520,Tapachula-Puerto Madero-Cd. Hidalgo,Ent. Jaritas-Cd. Hidalgo,225,40.5,D
2530,Tapanatepec-Talismán/Con Ramales A Unión Juárez Y Cd. Hidalgo,Tapanatepec-Talismán/Con Ramales A Unión Juárez Y Cd. Hidalgo,200,366.37,NA
2530,Tapanatepec-Talismán/Con Ramales A Unión Juárez Y Cd. Hidalgo,Tapanatepec-Arriaga,200,45,ET2
2530,Tapanatepec-Talismán/Con Ramales A Unión Juárez Y Cd. Hidalgo,Arriaga-Tapachula,200,247.25,ET4
2530,Tapanatepec-Talismán/Con Ramales A Unión Juárez Y Cd. Hidalgo,Tapachula- Ent. Cd. Hidalgo,200,13.32,ET2
2530,Tapanatepec-Talismán/Con Ramales A Unión Juárez Y Cd. Hidalgo,Ent. Cd. Hidalgo-Talismán,200,5.2,A2
2530-R1,Ramal A Unión Juarez,Ramal A Unión Juarez,200,28.6,D
2530-R2,Ramal A Cd. Hidalgo,Ramal A Cd. Hidalgo,200,27,ET2
2540,Tapanatepec-Tuxtla Gutiérrez,Tapanatepec-Tuxtla Gutiérrez,190,160,NA
2540,Tapanatepec-Tuxtla Gutiérrez,Tapanatepec-Ocozocuatla,190,123,C
2540,Tapanatepec-Tuxtla Gutiérrez,Ocozocuatla-Tuxtla Gutiérrez,190,37,B4
2545,Tecate-El Sauzal,Tecate-El Sauzal,3,100.3,D
2550,Tehuacán-Córdoba ,Tehuacán-Córdoba ,150,84.4,NA
2550,Tehuacán-Córdoba ,Tehuacan - Orizaba,150,63.5,D
2550,Tehuacán-Córdoba ,Orizaba-Fortín,150,16.7,C
2550,Tehuacán-Córdoba ,Fortin - Cordoba,150,4.2,D
2560,Tehuacan – Huajuapan De León,Tehuacan – Huajuapan De León,125,119.3,C
2570,Tehuacán-San Francisco Telixtlahuaca,Tehuacán-San Francisco Telixtlahuaca,135,203.11,NA
2570,Tehuacán-San Francisco Telixtlahuaca,Se Deroga,NA,NA,NA
2570,Tehuacán-San Francisco Telixtlahuaca,Teotitlán-San Francisco Telixtlahuaca,135,141.81,C
2575,Tenosique-El Ceibo,Tenosique-El Ceibo,203,56,D
2585,Tepic (Ent. Carr. Tepic-Mazatlán) -Villa Unión (Directo),Tepic (Ent. Carr. Tepic-Mazatlán) -Villa Unión (Directo),15D,276.83,NA
2585,Tepic (Ent. Carr. Tepic-Mazatlán) -Villa Unión (Directo),Tepic (Ent. Carr. Tepic-Mazatlán) -Villa Unión (Directo),15D,238.83,ET2
2585-L,Libramiento De Mazatlán (Directo),Libramiento De Mazatlán (Directo),15D,38,ET4
2590,Tepic-Mazatlán,Tepic-Mazatlán,15,297.4,NA
2590,Tepic-Mazatlán,Tepic-Lo De La Medo,15,3.7,ET4
2590,Tepic-Mazatlán,Lo De La Medo-Tecualilla (Ent. Aut. Tepic-Villa Unión),15,179.6,C
2590,Tepic-Mazatlán,Tecualilla (Ent. Aut. Tepic-Villa Unión)-Ent. Rosario ,15,40.7,C
2590,Tepic-Mazatlán,Ent. Rosario-Villa Unión,15,42.7,C
2590,Tepic-Mazatlán,Villa Unión-Mazatlán,15,25.4,A4
2590-L,Libramiento Mazatlán,Libramiento Mazatlán,15,5.3,A4
2610,Tepic-Puerto Vallarta,Tepic-Puerto Vallarta,200,152.6,NA
2610,Tepic-Puerto Vallarta,Tepic-Cruz De Huanacaxtle,200,137,C
2610,Tepic-Puerto Vallarta,Cruz De Huanacaxtle-Puerto Vallarta,200,15.6,B4
2620,Texcoco-Ecatepec (San Bernardino-Gpe. Victoria),Texcoco-Ecatepec (San Bernardino-Gpe. Victoria),142,29.1,B4
2625,Teya-Felipe Carrillo Puerto,Teya-Felipe Carrillo Puerto,184,250,NA
2625,Teya-Felipe Carrillo Puerto,Teya-Ent. Peto,184,126,C
2625,Teya-Felipe Carrillo Puerto,Ent. Peto-Santa Rosa,184,24,A2
2625,Teya-Felipe Carrillo Puerto,Santa Rosa-Felipe Carrillo Puerto,184,100,D
2630,Teziutlán-Nautla ,Teziutlán-Nautla ,129,93,NA
2630,Teziutlán-Nautla ,Teziutlán – Tlapacoyan,129,32.5,C
2630,Teziutlán-Nautla ,Tlapacoyan-Nautla (Ent. Carr. Veracruz-Poza Rica),129,60.5,B2
2640,Teziutlan – Perote,Teziutlan – Perote,131,53.2,NA
2640,Teziutlan – Perote,Teziutlan – Altotonga,131,24,D
2640,Teziutlan – Perote,Altotonga – Perote,131,29.2,C
2642,Tierra Colorada-Cruz Grande,Tierra Colorada-Cruz Grande,198,115.1,D
2643,Tihuatlán-(T.C. Alazán-Canoas ) Km 0+000-57+100,Tihuatlán-(T.C. Alazán-Canoas ) Km 0+000-57+100,127,57.1,C
2650,Tijuana-Ensenada,Tijuana-Ensenada,1,109.2,NA
2650,Tijuana-Ensenada,Tijuana – Rosarito,1,26,B4
2650,Tijuana-Ensenada,Rosarito – San Miguel,1,69.2,D
2650,Tijuana-Ensenada,San Miguel-Ensenada,1,14,ET4
2660,Tijuana – San Miguel  (Directo),Tijuana – San Miguel  (Directo),1 D,90.3,ET4
2670,Tlaxcala-Belén,Tlaxcala-Belén,119,10.5,B4
2680,Toluca-Ent. Axixintla,Toluca-Ent. Axixintla,55,125.2,NA
2680,Toluca-Ent. Axixintla,Se Deroga,NA,NA,NA
2680,Toluca-Ent. Axixintla,Tenango De Arista -Ent. Axixintla,55,101.2,D
2690,Toluca – Ciudad Altamirano,Toluca – Ciudad Altamirano,134,210.3,NA
2690,Toluca – Ciudad Altamirano,Toluca - Temascaltepec,134,68.3,C
2690,Toluca – Ciudad Altamirano,Temascaltepec – Ciudad Altamirano,134,142,C
2700,Toluca-Morelia ,Toluca-Morelia ,15,246,NA
2700,Toluca-Morelia ,Se Deroga,NA,NA,NA
2700,Toluca-Morelia ,Ent. Valle De Bravo - Morelia,15,238,D
2710,Toluca-Palmillas,Toluca-Palmillas,55,131.5,NA
2710,Toluca-Palmillas,Se Deroga,NA,NA,NA
2710,Toluca-Palmillas,Atlacomulco-Palmillas,55,66.5,A4
2710-L,Libramiento Norte De La Ciudad De México (Cuota),Libramiento Norte De La Ciudad De México (Cuota),M40D,223,ET4
2715,Tulancingo-Tihuatlán (Directo),Tulancingo-Tihuatlán (Directo),132D,178.1,NA
2715,Tulancingo-Tihuatlán (Directo),Tulancingo-Tejocotal,132D,41.5,ET2
2715,Tulancingo-Tihuatlán (Directo),Tejocotal-Nuevo Necaxa,132D,32,ET2
2715,Tulancingo-Tihuatlán (Directo),Nueva Necaxa-Ávila Camacho,132D,36.6,ET4
2715,Tulancingo-Tihuatlán (Directo),Ávila Camacho-Cañada Rica,132D,68,ET2
2720,Tuxpan – Tampico,Tuxpan – Tampico,180,189.8,ET2
2730,Tuxtepec – Ent. Palomares,Tuxtepec – Ent. Palomares,147,175,C
2740,Tuxtepec-Oaxaca (Ent. Carr. Oaxaca-Tehuantepec),Tuxtepec-Oaxaca (Ent. Carr. Oaxaca-Tehuantepec),175,212.7,D
2750,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,190,307.6,NA
2750,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,Tuxtla Gutiérrez – Chiapa De Corzo,190,15.3,B4
2750,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,Chiapa De Corzo-San Cristóbal De Las Casas,190,62.3,C
2750,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,San Cristóbal De Las Casas-Comitán,190,91,B2
2750,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,Comitán-Trinitaria,190,19.4,B4
2750,Tuxtla Gutiérrez-Ciudad Cuauhtémoc,Trinitaria-Cd. Cuauhtémoc ,190,67.6,B2
2750-R,Ramal A La Angostura,Ramal A La Angostura,190,52,D
2755,Uruapan-Lázaro Cárdenas (Directo) Ent. (Autopista Pátzcuaro-Uruapan)-Lázaro Cárdenas.,Uruapan-Lázaro Cárdenas (Directo) Ent. (Autopista Pátzcuaro-Uruapan)-Lázaro Cárdenas.,37D,215.7,ET2
2760,Urracas – Ent. (Carr. Matamoros – Reynosa),Urracas – Ent. (Carr. Matamoros – Reynosa),97,115.1,A2
2770,Valladolid-Felipe Carrillo Puerto,Valladolid-Felipe Carrillo Puerto,295,147,C
2780,Valladolid-Río Lagartos,Valladolid-Río Lagartos,295,102.6,NA
2780,Valladolid-Río Lagartos,Valladolid-Tizimín,295,45.1,A2
2780,Valladolid-Río Lagartos,Tizimín-Río Lagartos,295,57.5,D
2790,Venta De Carpio-Teotihuacán,Venta De Carpio-Teotihuacán,132,20.7,B4
2800,Villahermosa-Ciudad Del Carmen,Villahermosa-Ciudad Del Carmen,180,163.2,NA
2800,Villahermosa-Ciudad Del Carmen,Villahermosa-Macultepec,180,21,ET4
2800,Villahermosa-Ciudad Del Carmen,Macultepec-Ciudad Del Carmen,180,142.2,ET2
2810,Villahermosa-Francisco Escárcega/Con Ramales A Nuevo Coahuila Y A Palizada,Villahermosa-Francisco Escárcega/Con Ramales A Nuevo Coahuila Y A Palizada,186,449.5,NA
2810,Villahermosa-Francisco Escárcega/Con Ramales A Nuevo Coahuila Y A Palizada,Villahermosa-Ent. Macuspana,186,45.8,ET4
2810,Villahermosa-Francisco Escárcega/Con Ramales A Nuevo Coahuila Y A Palizada,Ent. Macuspana-Francisco Escárcega,186,251.2,ET2
2810-R1,Ramal A Nuevo Coahuila,Ramal A Nuevo Coahuila,221,85.2,D
2810-R2,Ramal A Palizada,Ramal A Palizada,217,67.3,D
2820,Villahermosa-Escopetazo ,Villahermosa-Escopetazo ,195,259,NA
2820,Villahermosa-Escopetazo ,Villahermosa – Teapa,195,54.8,C
2820,Villahermosa-Escopetazo ,Teapa-Escopetazo,195,204.2,C
2830,Villalta-Tepeyanco,Villalta-Tepeyanco,117,23.9,C
2840,Xalapa-Veracruz,Xalapa-Veracruz,140,105.77,NA
2840,Xalapa-Veracruz,Xalapa-Corral Falso,140,17.4,C
2840,Xalapa-Veracruz,Corral Falso-Cerro Gordo,140,5.4,B4
2840,Xalapa-Veracruz,Cerro Gordo-La Bocana,140,15.4,B2
2840,Xalapa-Veracruz,La Bocana-Tamarindo,140,16.4,B4
2840,Xalapa-Veracruz,Tamarindo-Veracruz,140,51.17,B2
2850,Yucudaa-Pinotepa Nacional/Con Ramal A El Carrizal,Yucudaa-Pinotepa Nacional/Con Ramal A El Carrizal,125,315.7,NA
2850,Yucudaa-Pinotepa Nacional/Con Ramal A El Carrizal,Yucudaa-Pinotepa Nacional,125,268,D
2850-R,Ramal El Carrizal-San Miguel Tlacotepec,Ramal El Carrizal-San Miguel Tlacotepec,125,47.7,D
2855,Yerbanís-Gómez Palacio (Directo),Yerbanís-Gómez Palacio (Directo),40D,117,ET4
2860,Zacapalco-Rancho Viejo (Directo),Zacapalco-Rancho Viejo (Directo),95D,17.3,A2
2870,Zacatecas-Durango,Zacatecas-Durango,45,302.4,NA
2870,Zacatecas-Durango,Zacatecas-Víctor Rosales,45,21.3,ET4
2870,Zacatecas-Durango,Víctor Rosales-General Enrique Estrada,45,7.38,C
2870,Zacatecas-Durango,General Enrique Estrada-Ent. Libramiento Fresnillo (La Providencia),45,24.1,ET4
2870,Zacatecas-Durango,Paso Por Fresnillo,45,9.52,B4
2870,Zacatecas-Durango,Ent. Libramiento Fresnillo (San Isidro)- Ent. La Chicharrona,45,10.3,ET4
2870,Zacatecas-Durango,Ent. La Chicharrona-Durango,45,210.8,A2
2870-L1,Libramiento De Víctor Rosales (Directo),Libramiento De Víctor Rosales (Directo),45D,12.2,ET4
2870-L2,Libramiento Fresnillo (Directo),Libramiento Fresnillo (Directo),45D,19,ET4
2873,Zacatecas-Saltillo,Zacatecas-Saltillo,54,370.2,A4
2874,Zacatepec-Oriental,Zacatepec-Oriental,136,16,D
2875,Zamora-La Barca,Zamora-La Barca,35,55.9,NA
2875,Zamora-La Barca,Zamora-Briseñas,35,51,B2
2875,Zamora-La Barca,Briseñas-La Barca,35,4.9,B2
2877,Zapotlanejo-El Desperdicio (Directo),Zapotlanejo-El Desperdicio (Directo),80D,118.91,ET4
2880,Zapotlanejo-Guadalajara (Directo),Zapotlanejo-Guadalajara (Directo),80D,29.5,ET4
2890,Zihuatanejo-La Mira,Zihuatanejo-La Mira,200,137.1,NA
2890,Zihuatanejo-La Mira,Zihuatanejo-Ent. (Aut. Uruapan-Lázaro Cárdenas),200,68,B
2890,Zihuatanejo-La Mira,Ent. (Aut. Uruapan-Lázaro Cárdenas)-La Orilla,200,55.6,B
2890,Zihuatanejo-La Mira,La Orilla-La Mira,200,13.5,C
2900,Zitácuaro-Cd. Altamirano,Zitácuaro-Cd. Altamirano,51,227,D
